resource_id,title_ru,subject_name,topic_name,difficulty_level,content_type,estimated_minutes,language,grade_min,grade_max,quality_score,popularity_score,exam_focus,interactivity_score
RES_1086,Практические задачи: Базы данных,Информатика,Базы данных,5,practice,22,ru,8,11,3.6,2.9,0,0.35
RES_1087,Упражнения по Клеточное деление,Биология,Клеточное деление,2,practice,9,ru,7,10,3.9,4.4,0,0.41
RES_1088,Запоминаем История Казахстана,История,История Казахстана,1,flashcards,39,kz,8,9,4.6,2.3,1,0.59
RES_1089,Разбор темы Базы данных,Информатика,Базы данных,3,video,13,ru,7,9,4.5,3.3,0,0.87
RES_1090,Тест: Генетика,Биология,Генетика,5,quiz,41,ru,8,11,4.9,2.1,0,0.42
RES_1091,Разбор темы Производные,Математика,Производные,2,video,26,ru,9,10,4.9,8.9,0,0.68
RES_1092,Тест: Производные,Математика,Производные,1,quiz,32,en,8,9,4.1,4.2,1,0.35
RES_1093,Теория: Средние века,История,Средние века,5,article,10,ru,7,10,4.9,7.5,1,0.96
RES_1094,Запоминаем Listening Practice,Английский язык,Listening Practice,5,flashcards,40,ru,7,9,3.7,8.6,1,0.96
RES_1095,Разбор темы Таблица Менделеева,Химия,Таблица Менделеева,2,video,13,ru,7,8,4.1,7.3,0,0.57
RES_1096,Тест: Кислоты и основания,Химия,Кислоты и основания,4,quiz,42,ru,9,11,4.0,1.8,1,0.31
RES_1097,Интенсив по Законы Ньютона,Физика,Законы Ньютона,4,video,12,ru,8,11,4.6,7.5,1,0.98
RES_1098,Сборник задач Законы Ньютона,Физика,Законы Ньютона,3,practice,30,ru,8,9,4.6,9.3,0,0.65
RES_1099,Интенсив по Кинематика,Физика,Кинематика,2,video,33,ru,9,12,4.8,8.6,0,0.86
RES_1100,Практические задачи: Логарифмы,Математика,Логарифмы,2,practice,44,ru,9,10,4.1,6.2,1,0.63
RES_1101,Краткий обзор Алгоритмы,Информатика,Алгоритмы,1,summary,6,ru,7,9,4.8,1.2,1,0.62
RES_1102,Запоминаем Кислоты и основания,Химия,Кислоты и основания,5,flashcards,33,ru,8,9,4.2,6.2,0,0.52
RES_1103,Практические задачи: Алгоритмы,Информатика,Алгоритмы,1,practice,7,ru,8,9,3.9,8.7,1,0.67
RES_1104,Флэш-карточки: Производные,Математика,Производные,1,flashcards,28,ru,9,10,4.9,8.2,0,0.67
RES_1105,Запоминаем Grammar Rules,Английский язык,Grammar Rules,3,flashcards,38,ru,8,9,5.0,3.1,1,0.72
RES_1106,Краткий обзор Древний мир,История,Древний мир,2,summary,30,ru,9,11,4.9,8.4,1,0.7
RES_1107,Интенсив по Tenses,Английский язык,Tenses,4,video,39,en,8,9,4.5,2.4,1,0.38
RES_1108,Видео-урок: Древний мир,История,Древний мир,4,video,38,ru,8,9,4.1,3.5,0,0.24
RES_1109,Тест: Электричество,Физика,Электричество,1,quiz,38,ru,7,10,4.1,3.3,1,0.6
RES_1110,Практические задачи: Алгоритмы,Информатика,Алгоритмы,4,practice,21,ru,7,8,4.8,5.6,1,0.66
RES_1111,Конспект: Оптика,Физика,Оптика,1,summary,20,ru,8,11,4.8,8.8,1,0.87
RES_1112,Квиз по теме Производные,Математика,Производные,3,quiz,9,en,8,11,4.8,1.3,1,0.3
RES_1113,Флэш-карточки: Органическая химия,Химия,Органическая химия,2,flashcards,17,ru,8,10,3.5,3.6,1,0.98
RES_1114,Практические задачи: Тригонометрия,Математика,Тригонометрия,3,practice,34,ru,8,11,4.1,8.6,0,0.34
RES_1115,Запоминаем История Казахстана,История,История Казахстана,4,flashcards,21,en,8,11,4.6,5.3,0,0.26
RES_1116,Запоминаем Термодинамика,Физика,Термодинамика,5,flashcards,16,ru,9,12,3.5,3.9,0,0.82
RES_1117,Проверь себя: Термодинамика,Физика,Термодинамика,2,quiz,39,ru,7,8,3.7,8.2,1,0.38
RES_1118,Флэш-карточки: Электричество,Физика,Электричество,3,flashcards,32,en,9,10,4.9,8.7,1,0.81
RES_1119,Статья: Все о Древний мир,История,Древний мир,2,article,4,ru,8,11,3.5,6.9,0,0.89
RES_1120,Упражнения по Химические связи,Химия,Химические связи,1,practice,12,en,7,8,4.8,7.8,1,0.3
RES_1121,Упражнения по Средние века,История,Средние века,3,practice,29,ru,8,11,4.4,6.5,0,0.65
RES_1122,Запоминаем Геометрия,Математика,Геометрия,5,flashcards,28,ru,7,9,5.0,2.3,0,0.74
RES_1123,Конспект: Оптика,Физика,Оптика,1,summary,12,en,8,9,4.6,2.3,0,0.66
RES_1124,Запоминаем Grammar Rules,Английский язык,Grammar Rules,4,flashcards,44,ru,7,9,4.0,5.7,0,0.48
RES_1125,Упражнения по Производные,Математика,Производные,2,practice,30,ru,8,11,4.7,2.8,0,0.28
RES_1126,Шпаргалка по Органическая химия,Химия,Органическая химия,1,article,9,ru,8,9,3.9,9.4,1,0.7
RES_1127,Шпаргалка по Генетика,Биология,Генетика,3,article,8,ru,8,10,4.5,5.7,1,0.27
RES_1128,Практические задачи: Сетевые технологии,Информатика,Сетевые технологии,1,practice,23,kz,7,10,4.0,2.6,1,0.73
RES_1129,Проверь себя: Химические связи,Химия,Химические связи,2,quiz,41,kz,9,11,5.0,6.9,0,0.74
RES_1130,Интенсив по Вторая мировая война,История,Вторая мировая война,4,video,25,en,7,9,4.6,4.8,0,0.5
RES_1131,Тест: Анатомия человека,Биология,Анатомия человека,3,quiz,38,ru,7,9,4.8,9.1,0,0.42
RES_1132,Флэш-карточки: Таблица Менделеева,Химия,Таблица Менделеева,4,flashcards,22,ru,9,10,4.6,2.2,1,0.93
RES_1133,Упражнения по Vocabulary,Английский язык,Vocabulary,2,practice,9,ru,9,10,4.2,1.9,0,0.67
RES_1134,Упражнения по Tenses,Английский язык,Tenses,1,practice,32,ru,9,10,4.5,3.9,1,0.3
RES_1135,Теория: Древний мир,История,Древний мир,3,article,12,ru,8,10,4.5,2.3,0,0.67
RES_1136,Разбор темы Клеточное деление,Биология,Клеточное деление,4,video,41,ru,7,10,4.3,8.0,1,0.56
RES_1137,Запоминаем Listening Practice,Английский язык,Listening Practice,3,flashcards,18,ru,7,9,4.3,9.4,0,0.3
RES_1138,Конспект: Алгоритмы,Информатика,Алгоритмы,5,summary,18,ru,7,8,4.1,5.3,1,0.21
RES_1139,Конспект: Тригонометрия,Математика,Тригонометрия,3,summary,42,ru,8,11,3.5,3.8,1,0.36
RES_1140,Тест: Grammar Rules,Английский язык,Grammar Rules,1,quiz,36,ru,9,10,4.9,3.3,1,0.98
RES_1141,Запоминаем Таблица Менделеева,Химия,Таблица Менделеева,2,flashcards,12,en,7,9,4.7,2.0,1,0.93
RES_1142,Флэш-карточки: Логарифмы,Математика,Логарифмы,5,flashcards,32,ru,7,9,4.4,3.9,1,0.99
RES_1143,Конспект: История Казахстана,История,История Казахстана,1,summary,42,ru,9,11,4.5,8.3,1,0.84
RES_1144,Статья: Все о Органическая химия,Химия,Органическая химия,1,article,3,ru,7,10,4.1,7.3,0,0.56
RES_1145,Теория: Квадратные уравнения,Математика,Квадратные уравнения,2,article,10,ru,9,12,4.4,5.2,0,0.89
RES_1146,Конспект: Электричество,Физика,Электричество,2,summary,38,ru,7,8,3.9,5.3,0,0.64
RES_1147,Сборник задач Python основы,Информатика,Python основы,3,practice,27,ru,7,8,4.8,1.6,1,0.72
RES_1148,Практические задачи: Кислоты и основания,Химия,Кислоты и основания,5,practice,38,ru,8,11,4.4,5.7,1,0.94
RES_1149,Проверь себя: Зоология,Биология,Зоология,2,quiz,17,ru,8,9,3.7,2.6,1,0.35
RES_1150,Разбор темы Древний мир,История,Древний мир,5,video,11,en,8,10,4.1,5.7,0,0.2
RES_1151,Краткий обзор Python основы,Информатика,Python основы,4,summary,13,ru,7,9,3.8,4.2,1,0.82
RES_1152,Статья: Все о Тригонометрия,Математика,Тригонометрия,4,article,6,ru,8,11,4.5,1.9,1,0.56
RES_1153,Интенсив по Кинематика,Физика,Кинематика,4,video,25,ru,8,9,3.5,6.8,1,0.64
RES_1154,Флэш-карточки: Законы Ньютона,Физика,Законы Ньютона,5,flashcards,29,kz,7,9,3.7,7.3,0,0.54
RES_1155,Интенсив по Tenses,Английский язык,Tenses,4,video,8,en,8,11,4.4,3.5,0,0.27
RES_1156,Статья: Все о Геометрия,Математика,Геометрия,1,article,11,ru,9,11,4.2,8.5,1,0.26
RES_1157,Запоминаем Средние века,История,Средние века,2,flashcards,7,ru,9,11,3.6,4.4,0,1.0
RES_1158,Упражнения по Vocabulary,Английский язык,Vocabulary,4,practice,17,ru,8,9,4.6,2.5,0,0.54
RES_1159,Практические задачи: Grammar Rules,Английский язык,Grammar Rules,4,practice,27,ru,9,11,3.7,9.9,1,0.63
RES_1160,Упражнения по Производные,Математика,Производные,2,practice,20,ru,9,10,3.7,1.6,0,0.38
RES_1161,Видео-урок: Вторая мировая война,История,Вторая мировая война,2,video,13,ru,9,10,4.7,3.5,1,0.9
RES_1162,Флэш-карточки: Базы данных,Информатика,Базы данных,4,flashcards,16,kz,7,9,3.7,8.4,0,0.9
RES_1163,Флэш-карточки: Python основы,Информатика,Python основы,4,flashcards,19,ru,8,9,3.8,7.3,0,0.98
RES_1164,Тест: Законы Ньютона,Физика,Законы Ньютона,5,quiz,40,ru,8,9,3.7,9.1,1,0.45
RES_1165,Флэш-карточки: Органическая химия,Химия,Органическая химия,5,flashcards,12,ru,7,9,4.3,3.1,0,0.82
RES_1166,Запоминаем Клеточное деление,Биология,Клеточное деление,2,flashcards,10,ru,7,10,3.5,6.4,0,0.51
RES_1167,Проверь себя: Древний мир,История,Древний мир,1,quiz,15,en,8,10,4.4,3.7,0,0.34
RES_1168,Упражнения по История Казахстана,История,История Казахстана,3,practice,8,ru,9,10,3.8,3.1,0,0.34
RES_1169,Флэш-карточки: Анатомия человека,Биология,Анатомия человека,2,flashcards,39,ru,9,10,4.1,8.4,1,0.82
RES_1170,Проверь себя: Базы данных,Информатика,Базы данных,3,quiz,42,ru,7,9,4.6,2.2,0,0.37
RES_1171,Тест: Вторая мировая война,История,Вторая мировая война,5,quiz,41,kz,7,9,4.2,2.0,0,0.56
RES_1172,Краткий обзор Анатомия человека,Биология,Анатомия человека,4,summary,44,en,8,10,4.4,8.7,0,0.96
RES_1173,Видео-урок: Квадратные уравнения,Математика,Квадратные уравнения,1,video,33,ru,7,9,4.9,3.3,1,0.86
RES_1174,Теория: Vocabulary,Английский язык,Vocabulary,1,article,14,ru,9,10,4.8,2.0,1,0.55
RES_1175,Интенсив по Средние века,История,Средние века,3,video,28,ru,7,8,3.6,5.6,0,0.57
RES_1176,Сборник задач Зоология,Биология,Зоология,3,practice,32,ru,9,12,4.1,5.9,1,0.25
RES_1177,Интенсив по Электричество,Физика,Электричество,1,video,19,ru,7,9,3.7,6.5,1,0.72
RES_1178,Тест: Термодинамика,Физика,Термодинамика,4,quiz,17,ru,9,11,4.6,8.3,1,0.3
RES_1179,Квиз по теме Tenses,Английский язык,Tenses,1,quiz,18,ru,7,10,4.4,9.5,0,0.3
RES_1180,Видео-урок: Таблица Менделеева,Химия,Таблица Менделеева,3,video,43,en,8,10,4.9,3.3,1,0.57
RES_1181,Флэш-карточки: Сетевые технологии,Информатика,Сетевые технологии,4,flashcards,26,kz,9,11,4.9,1.4,0,0.31
RES_1182,Теория: Grammar Rules,Английский язык,Grammar Rules,3,article,8,ru,9,10,4.4,5.6,0,0.65
RES_1183,Сборник задач Вторая мировая война,История,Вторая мировая война,1,practice,12,ru,7,10,3.5,3.2,1,0.99
RES_1184,Проверь себя: Химические связи,Химия,Химические связи,3,quiz,25,en,7,9,4.4,2.7,0,0.83
RES_1185,Запоминаем Анатомия человека,Биология,Анатомия человека,2,flashcards,16,en,8,10,3.8,9.6,0,0.46
RES_1186,Запоминаем Кислоты и основания,Химия,Кислоты и основания,3,flashcards,8,ru,7,9,4.5,8.0,0,0.31
RES_1187,Запоминаем Алгоритмы,Информатика,Алгоритмы,5,flashcards,8,ru,8,10,4.1,4.6,1,0.61
RES_1188,Краткий обзор Химические связи,Химия,Химические связи,2,summary,28,ru,9,11,4.7,3.4,1,0.6
RES_1189,Запоминаем Базы данных,Информатика,Базы данных,5,flashcards,42,ru,8,10,4.7,5.7,0,0.3
RES_1190,Квиз по теме Квадратные уравнения,Математика,Квадратные уравнения,4,quiz,32,en,7,10,5.0,9.4,1,0.54
RES_1191,Шпаргалка по Анатомия человека,Биология,Анатомия человека,4,article,11,kz,9,12,3.8,6.1,1,0.33
RES_1192,Запоминаем Органическая химия,Химия,Органическая химия,5,flashcards,23,ru,8,9,4.1,8.9,1,0.35
RES_1193,Тест: Производные,Математика,Производные,4,quiz,8,ru,8,10,4.9,9.2,1,0.21
RES_1194,Практические задачи: Геометрия,Математика,Геометрия,4,practice,34,ru,7,8,3.6,1.3,0,0.42
RES_1195,Проверь себя: Сетевые технологии,Информатика,Сетевые технологии,2,quiz,10,ru,7,8,4.2,1.3,0,0.93
RES_1196,Упражнения по Производные,Математика,Производные,1,practice,10,en,9,12,3.5,7.0,1,0.65
RES_1197,Проверь себя: Tenses,Английский язык,Tenses,4,quiz,41,kz,8,9,3.9,6.9,0,0.65
RES_1198,Видео-урок: Кислоты и основания,Химия,Кислоты и основания,4,video,37,ru,7,8,3.8,3.3,1,0.65
RES_1199,Краткий обзор Производные,Математика,Производные,4,summary,43,en,8,11,4.3,1.7,0,0.59
RES_1200,Проверь себя: История Казахстана,История,История Казахстана,1,quiz,38,en,8,10,4.2,7.7,0,0.83
RES_1201,Теория: Сетевые технологии,Информатика,Сетевые технологии,3,article,3,ru,9,12,3.9,2.5,0,0.81
RES_1202,Конспект: Базы данных,Информатика,Базы данных,4,summary,44,kz,8,11,4.7,1.2,0,0.57
RES_1203,Квиз по теме Клеточное деление,Биология,Клеточное деление,4,quiz,23,ru,9,10,3.8,2.7,0,0.49
RES_1204,Конспект: Геометрия,Математика,Геометрия,1,summary,44,ru,9,12,4.2,6.0,0,0.69
RES_1205,Теория: Древний мир,История,Древний мир,3,article,14,ru,8,9,3.8,9.0,1,0.32
RES_1206,Запоминаем Генетика,Биология,Генетика,3,flashcards,20,kz,7,10,4.2,2.1,1,0.46
RES_1207,Квиз по теме Генетика,Биология,Генетика,3,quiz,9,ru,9,12,4.3,7.5,1,0.26
RES_1208,Краткий обзор Древний мир,История,Древний мир,5,summary,10,en,7,9,4.0,5.2,1,0.57
RES_1209,Проверь себя: Средние века,История,Средние века,3,quiz,25,ru,8,10,3.6,7.5,0,0.92
RES_1210,Проверь себя: Кислоты и основания,Химия,Кислоты и основания,3,quiz,26,en,7,10,4.7,8.6,0,0.22
RES_1211,Проверь себя: Средние века,История,Средние века,3,quiz,10,en,9,12,3.8,8.5,0,0.71
RES_1212,Интенсив по Генетика,Биология,Генетика,5,video,18,kz,9,10,3.8,8.3,0,0.92
RES_1213,Флэш-карточки: Органическая химия,Химия,Органическая химия,3,flashcards,31,ru,9,12,4.1,3.0,0,0.3
RES_1214,Флэш-карточки: Таблица Менделеева,Химия,Таблица Менделеева,4,flashcards,44,en,7,8,4.9,3.5,1,0.43
RES_1215,Квиз по теме Кислоты и основания,Химия,Кислоты и основания,1,quiz,18,en,7,10,4.0,8.5,0,0.9
RES_1216,Флэш-карточки: Сетевые технологии,Информатика,Сетевые технологии,5,flashcards,13,ru,7,9,4.2,3.7,0,0.44
RES_1217,Флэш-карточки: Таблица Менделеева,Химия,Таблица Менделеева,4,flashcards,26,en,9,11,3.8,1.7,0,0.84
RES_1218,Шпаргалка по Сетевые технологии,Информатика,Сетевые технологии,2,article,7,ru,7,10,4.7,6.4,0,0.28
RES_1219,Сборник задач История Казахстана,История,История Казахстана,1,practice,12,ru,8,9,4.1,3.9,0,0.82
RES_1220,Тест: Логарифмы,Математика,Логарифмы,5,quiz,24,en,9,11,4.5,7.1,0,0.39
RES_1221,Теория: Клеточное деление,Биология,Клеточное деление,4,article,13,en,8,10,4.3,6.7,0,0.4
RES_1222,Упражнения по Производные,Математика,Производные,2,practice,5,ru,9,12,4.2,6.6,0,0.56
RES_1223,Видео-урок: Анатомия человека,Биология,Анатомия человека,5,video,12,ru,8,9,3.7,4.0,1,0.66
RES_1224,Теория: Python основы,Информатика,Python основы,1,article,3,ru,7,8,3.7,4.1,0,0.9
RES_1225,Теория: Средние века,История,Средние века,3,article,3,ru,9,10,4.6,8.9,1,0.41
RES_1226,Видео-урок: Средние века,История,Средние века,2,video,9,ru,9,11,4.5,1.5,0,0.25
RES_1227,Проверь себя: Grammar Rules,Английский язык,Grammar Rules,2,quiz,40,ru,8,9,3.7,4.8,1,0.26
RES_1228,Интенсив по Оптика,Физика,Оптика,2,video,14,ru,9,10,4.4,1.1,1,0.93
RES_1229,Теория: Геометрия,Математика,Геометрия,3,article,8,en,7,9,5.0,8.4,1,0.63
RES_1230,Конспект: Органическая химия,Химия,Органическая химия,2,summary,35,ru,7,8,4.7,1.6,0,0.88
RES_1231,Конспект: Зоология,Биология,Зоология,1,summary,34,ru,7,9,4.7,8.4,1,0.93
RES_1232,Теория: Listening Practice,Английский язык,Listening Practice,3,article,6,ru,7,9,4.3,5.6,0,0.72
RES_1233,Видео-урок: Средние века,История,Средние века,4,video,14,ru,9,10,4.5,4.1,0,0.53
RES_1234,Запоминаем Квадратные уравнения,Математика,Квадратные уравнения,5,flashcards,5,ru,8,10,3.8,9.7,0,0.98
RES_1235,Краткий обзор Кислоты и основания,Химия,Кислоты и основания,2,summary,31,ru,9,11,3.5,7.8,0,0.43
